title,viewCount,publishedAt,duration
【モンスターハンターライズ】モンスターの名前覚えられない【杏戸ゆげ / ブイアパ】,12757,2021-04-08T13:05:10Z,PT1H54M34S
【Detroit Become Human#5】全員まとめて生かしてやるからよ【杏戸ゆげ / ブイアパ】,9897,2021-04-07T12:45:21Z,PT2H27M48S
【切り抜き】のりまゆげCHの会話よくわからないすぎる【杏戸ゆげ / ブイアパ】,33372,2021-04-07T09:15:16Z,PT10M48S
そろそろやばい。【杏戸ゆげ / ブイアパ】,25723,2021-04-06T13:03:54Z,PT2H36M56S
【APEX LEGENDS】えるえるとあそぶよ～～～ん【杏戸ゆげ / ブイアパ】,22846,2021-04-05T15:01:16Z,PT2H37M24S
【APEX LEGENDS】酔ってません【杏戸ゆげ / ブイアパ】,54733,2021-04-04T16:40:05Z,PT6H9M15S
【APEX LEGENDS】ふまわとかじゅあるしちゃう【杏戸ゆげ / ブイアパ】,12270,2021-04-03T10:09:43Z,PT1H43M43S
【L4D2】なんか姫プしてもらえるらしいけど銃持っていいか？【杏戸ゆげ / ブイアパ】,14995,2021-04-01T14:46:18Z,PT1H36M42S
【雑談】ゆったりまったりおはなししませう【杏戸ゆげ / ブイアパ】,13068,2021-03-30T11:54:24Z,PT1H39M5S
【#FallAIs】1位以外はみんな負けです。【杏戸ゆげ / ブイアパ】,27752,2021-03-27T13:48:49Z,PT2H37M56S
【Fall Guys】大会のためにくく先生におしえてもらう【杏戸ゆげ / ブイアパ】,8927,2021-03-26T20:09:58Z,PT1H28M55S
【APEX LEGENDS】プラチナランクマぱかたん【杏戸ゆげ / ブイアパ】,25451,2021-03-26T18:03:03Z,PT3H54M51S
【モンスターハンターライズ】モンスターさんこんにちは。【杏戸ゆげ / ブイアパ】,30619,2021-03-26T13:42:03Z,PT2H57M42S
【Fall Guys】大会のための孤高のコソ練【杏戸ゆげ / ブイアパ】,8378,2021-03-25T13:58:19Z,PT45M46S
【APEX LEGENDS】マスターになったときみながらビールの飲み比べしましょう【杏戸ゆげ / ブイアパ】,69133,2021-03-24T20:14:30Z,PT7H6M36S
【APEX LEGENDS】あああああああああああああああああああ【杏戸ゆげ / ブイアパ】,31701,2021-03-23T20:45:07Z,PT2H47M24S
【APEX LEGENDS】D２らんくがんばります～ゆげちー【杏戸ゆげ / ブイアパ】,40296,2021-03-22T18:14:59Z,PT3H48M44S
【APEX LEGENDS】かじゅある～～【杏戸ゆげ / ブイアパ】,53191,2021-03-21T20:25:04Z,PT8H17M41S
【APEX LEGENDS】のりまゆげいつでもなかよし( ¯•ω•¯ )【杏戸ゆげ / ブイアパ】,24729,2021-03-20T16:27:40Z,PT3H59S
【APEX LEGENDS】イベントバッチほしいんですが？！？！【杏戸ゆげ / ブイアパ】,16319,2021-03-19T14:29:19Z,PT2H4M43S
【切り抜き】全部人になすりつけたらいいんだよ【杏戸ゆげ /季咲あんこ/小森めと/不磨わっと】,10921,2021-03-18T10:00:14Z,PT14M26S
【Detroit Become Human#4】こんなはずじゃないんだけどね【杏戸ゆげ / ブイアパ】,12528,2021-03-15T16:22:23Z,PT2H10M16S
【飲酒】CRCUP応援ありがとうございましたの酒の呼吸【杏戸ゆげ / ブイアパ】,59796,2021-03-14T20:32:22Z,PT6H16M35S
【APEX LEGENDS】CRCUP本番　#のりまゆげWIN　3分遅延有【杏戸ゆげ / ブイアパ】,31550,2021-03-14T13:00:56Z,PT3H16M14S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )最終日【杏戸ゆげ / ブイアパ】,22351,2021-03-13T16:37:57Z,PT5H23M36S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )5日目【杏戸ゆげ / ブイアパ】,24733,2021-03-12T17:12:48Z,PT4H39M51S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )4日目【杏戸ゆげ / ブイアパ】,14131,2021-03-11T16:28:11Z,PT2H59M26S
【Stardew Valley】夏が始まりましたね【杏戸ゆげ / ブイアパ】,12047,2021-03-11T13:21:30Z,PT2H7M59S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )3日目【杏戸ゆげ / ブイアパ】,18407,2021-03-10T16:32:33Z,PT4H2M21S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )2日目【杏戸ゆげ / ブイアパ】,35784,2021-03-08T19:02:14Z,PT6H17M51S
【APEX LEGENDS】のりまゆげCHかすたむさんか～( ¯•ω•¯ )1日目【杏戸ゆげ / ブイアパ】,27080,2021-03-08T07:45:12Z,PT4H30M22S
【APEX LEGENDS】つよくなりたいなぁ【杏戸ゆげ / ブイアパ】,26567,2021-03-06T14:27:46Z,PT3H21M30S
【APEX LEGENDS】ちーちゃんとヘンディとダイヤランクマッチ【杏戸ゆげ / ブイアパ】,29024,2021-03-05T16:51:27Z,PT4H9M8S
【APEX LEGENDS】のりまゆげCHほのぼのれんしゅう～( ¯•ω•¯ )【杏戸ゆげ / ブイアパ】,19783,2021-03-03T15:58:37Z,PT2H29M40S
【#ブルーアーカイブ​】なにもわからないあんこちゃんにブルアカ布教【杏戸ゆげ / ブイアパ】,16192,2021-03-02T12:26:33Z,PT58M18S
【Detroit Become Human#3】アンドロイドは鏡なので【杏戸ゆげ / ブイアパ】,11224,2021-03-01T12:57:55Z,PT2H13M48S
【APEX LEGENDS】シーズン8最高にたのしいですねぇ【杏戸ゆげ / ブイアパ】,5054,2021-02-28T10:34:08Z,PT1H59M42S
【Stardew Valley】農園生活に舞い戻る【杏戸ゆげ / ブイアパ】,18595,2021-02-25T13:01:54Z,PT1H47M15S
【めっちゃうごくよ】初号機ver2.0お披露目しちゃうよ～～～～【杏戸ゆげ / ブイアパ】,39751,2021-02-25T10:27:55Z,PT1H21M20S
【切り抜き】どんな時でも絶対に許されない選択があるDetroit【杏戸ゆげ / ブイアパ】,6184,2021-02-24T09:00:16Z,PT12M31S
【切り抜き】カーラルートが消滅した。Detroit【杏戸ゆげ / ブイアパ】,7319,2021-02-23T09:00:15Z,PT13M44S
【切り抜き】闇のしりとりとガールズハンターヌンボラ:マリアンヌまとめ後篇【杏戸ゆげ / ブイアパ】,10400,2021-02-22T09:00:15Z,PT9M16S
【歌枠】ドライフラワーの感想とかも聞きたい【杏戸ゆげ / ブイアパ】,19779,2021-02-21T09:17:20Z,PT1H55M17S
【切り抜き】マリアンヌはみんなちょっとおかしい:マリアンヌまとめ前篇【杏戸ゆげ / ブイアパ】,13212,2021-02-21T09:00:35Z,PT11M5S
【うたってみた】ドライフラワー／優里【杏戸ゆげ/ブイアパ】,501910,2021-02-20T09:00:16Z,PT4M48S
【APEX LEGENDS】あまみゃの笑顔を守りたい【杏戸ゆげ / ブイアパ】,27768,2021-02-19T11:10:43Z,PT1H52M51S
【APEX LEGENDS】はじめまして、今日からチームです【杏戸ゆげ / ブイアパ】,45885,2021-02-18T17:50:40Z,PT2H39M2S
【雑談】2周年も11万人もありがとうありがとうだよ【杏戸ゆげ / ブイアパ】,21985,2021-02-18T13:11:17Z,PT1H47M26S
【#杏戸ゆげ2周年】2周年記念３D配信　今日は私が王ってことで。【杏戸ゆげ / ブイアパ】,108539,2021-02-16T12:32:38Z,PT1H25M19S
【眠くなったら即終了】2周年を迎える前に11万人のヒューマノイドになりたいな【杏戸ゆげ / ブイアパ】,20296,2021-02-15T11:48:19Z,PT1H29M59S
【APEX LEGENDS】チョコレートたくさんたべた～～～～い！！！【杏戸ゆげ / ブイアパ】,27042,2021-02-14T13:01:30Z,PT2H40M11S
【APEX LEGENDS】ジブラルタル絶対使わない【杏戸ゆげ / ブイアパ】,27999,2021-02-13T12:06:56Z,PT1H41M19S
【APEX LEGENDS】わたしたちが～～～まりあんぬだ～～～！！！【杏戸ゆげ / ブイアパ】,21772,2021-02-11T11:58:45Z,PT1H45M9S
【APEX LEGENDS】らんくまちそ【杏戸ゆげ / ブイアパ】,58651,2021-02-09T20:21:00Z,PT5H36M3S
【Detroit Become Human#2】幸せを願っただけなのに。【杏戸ゆげ / ブイアパ】,14944,2021-02-09T13:08:41Z,PT2H10M2S
【FALLGUYS】ひさしぶりの774いんくふぉーるがいず部【杏戸ゆげ / ブイアパ】,10174,2021-02-08T11:16:39Z,PT1H8M19S
【APEX LEGENDS】きなこさんはチョコと０に弱いらしい【杏戸ゆげ / ブイアパ】,73340,2021-02-08T06:57:04Z,PT2H39M45S
【APEX LEGENDS】きなこさんはチョコと０に弱いらしい【杏戸ゆげ / ブイアパ】,73340,2021-02-08T06:57:04Z,PT2H39M45S
【Detroit Become Human#1】ヒューマノイドは人じゃないですか？【杏戸ゆげ / ブイアパ】,25668,2021-02-07T09:16:22Z,PT2H57M41S
【APEX LEGENDS】うまくなりたいっぴ【杏戸ゆげ / ブイアパ】,36962,2021-02-05T14:24:59Z,PT3H56M20S
【雑談】ハヤシライスだいすき～～【杏戸ゆげ / ブイアパ】,22140,2021-02-04T12:08:23Z,PT2H1S
【APEX LEGENDS】新シーズンいてきますよ【杏戸ゆげ / ブイアパ】,20729,2021-02-02T21:33:21Z,PT2H8M11S
